日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20170228,1301,極洋,市場第一部（内国株）,50,水産・農林業,1,食品 ,7,TOPIX Small 2
20170228,1305,ダイワ上場投信－トピックス,ETF・ETN,-,-,-,-,-,-
20170228,1306,ＴＯＰＩＸ連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
20170228,1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,-,-,-,-,-,-
20170228,1309,上海株式指数・上証５０連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
20170228,1310,ダイワ上場投信－トピックス・コア３０,ETF・ETN,-,-,-,-,-,-
20170228,1311,ＴＯＰＩＸ　Ｃｏｒｅ　３０　連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
20170228,1312,ラッセル野村小型コア・インデックス連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
20170228,1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,ETF・ETN,-,-,-,-,-,-
20170228,1314,上場インデックスファンドＳ＆Ｐ日本新興株１００,ETF・ETN,-,-,-,-,-,-
20170228,1319,日経３００株価指数連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
20170228,1320,ダイワ上場投信－日経２２５,ETF・ETN,-,-,-,-,-,-
20170228,1321,日経２２５連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
20170228,1322,上場インデックスファンド中国Ａ株（パンダ）ＣＳＩ３００,ETF・ETN,-,-,-,-,-,-
20170228,1323,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ　Ａｆｒｉｃａ　Ｔｏｐ４０連動型上場投信,ETF・ETN,-,-,-,-,-,-
20170228,1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数・ＲＴＳ連動型上場投信,ETF・ETN,-,-,-,-,-,-
20170228,1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,-,-,-,-,-,-
20170228,1326,ＳＰＤＲゴールド・シェア,ETF・ETN,-,-,-,-,-,-
20170228,1327,Ｓ＆Ｐ　ＧＳＣＩ商品指数　エネルギー＆メタル・キャップド・コンポーネント３５／２０・ＴＨＥＡＭ・イージーＵＣＩＴＳ・ＥＴＦクラスＡ米ドル建受益証券,ETF・ETN,-,-,-,-,-,-
20170228,1328,金価格連動型上場投資信託,ETF・ETN,-,-,-,-,-,-
20170228,1329,ｉシェアーズ　日経２２５　ＥＴＦ,ETF・ETN,-,-,-,-,-,-
20170228,1330,上場インデックスファンド２２５,ETF・ETN,-,-,-,-,-,-
